TRADE_DT,INDEX_CODE,CROWD,ANALYST_REC,ANALYST_UP3M,NP_SUE,NP_DELTA_ROEQ,NP_PROFIT_YOY,SMART,PM,VA,I_SELLSIDE,I_SELLSIDE_CHG,I_UNDER_W,M_MACROPB
20130104,CI005001.WI,0.083333333,0.04,-0.435584383,0.161256715,1.027965808,9.8525,0.581871176,1.272419372,-0.81527968,0.019704433,-3.89E-05,0.124416742,0.796849141
20130107,CI005001.WI,0,0.04,-0.435584383,-0.728943882,1.027965808,9.8525,0.943947658,1.066789609,1.41332276,0.019704433,-3.89E-05,0.124416742,0.796849141
20130108,CI005001.WI,0.083333333,-0.06,-0.430599569,0.513699654,1.027965808,9.8525,1.653467754,0.986146731,0.246053876,0.019704433,-3.89E-05,0.124416742,0.796849141
20130109,CI005001.WI,0.166666667,-0.02,-0.426803082,0.508269226,1.027965808,9.8525,-0.914854623,1.126533592,-0.645734856,0.019704433,-3.89E-05,0.124416742,0.796849141
20130110,CI005001.WI,0.083333333,-0.08,-0.425284482,-0.067900296,1.027965808,9.8525,-0.694501825,0.919758301,-0.600247475,0.019704433,-3.89E-05,0.124416742,0.796849141
20130111,CI005001.WI,0.083333333,0.02,-0.411487409,0.415038607,1.027965808,9.8525,-1.127586086,1.103735194,-2.002381916,0.019704433,-3.89E-05,0.124416742,0.796849141
20130114,CI005001.WI,0.166666667,0.04,-0.392056133,-1.073298856,1.027965808,9.8525,2.288266952,1.307244738,1.073947535,0.019704433,-3.89E-05,0.124416742,0.796849141
20130115,CI005001.WI,0.25,-0.06,-0.388229414,0.265207108,1.027965808,9.8525,0.963466536,1.159765387,1.351560474,0.019704433,-3.89E-05,0.124416742,0.796849141
20130116,CI005001.WI,0.166666667,0.04,-0.384099379,-3.422884555,1.027965808,9.8525,-1.592195766,1.125407729,-1.424652033,0.019704433,-3.89E-05,0.124416742,0.796849141
20130117,CI005001.WI,0.083333333,0.02,-0.376386492,0.268516673,1.027965808,9.8525,-0.027404383,1.085106081,-0.749595822,0.019704433,-3.89E-05,0.124416742,0.796849141
20130118,CI005001.WI,0.166666667,-0.02,-0.376041156,0.455086838,1.027965808,9.8525,0.602720988,1.017811667,1.466016712,0.019704433,-3.89E-05,0.124416742,0.796849141
20130121,CI005001.WI,0.25,-0.08,-0.356234097,-2.592354433,1.027965808,9.8525,0.446522424,1.174012254,0.983293007,0.019704433,-3.89E-05,0.124416742,0.796849141
20130122,CI005001.WI,0.083333333,0.06,-0.345618557,0.794835163,1.027965808,9.8525,-0.80156645,0.982102162,-1.147462575,0.019704433,-3.89E-05,0.124416742,0.796849141
20130123,CI005001.WI,0.166666667,0,-0.33691894,3.80586806,1.027965808,9.8525,-0.703599112,1.29283997,0.738611921,0.019704433,-3.89E-05,0.124416742,0.796849141
20130124,CI005001.WI,0.166666667,-0.02,-0.315339039,-0.865148389,1.027965808,9.8525,-0.907392363,1.472571669,-0.854978828,0.019704433,-3.89E-05,0.124416742,0.796849141
20130125,CI005001.WI,0,0.04,-0.306750888,1.515354387,1.027965808,9.8525,-0.067936699,1.653667734,-0.882095948,0.019704433,-3.89E-05,0.124416742,0.796849141
20130128,CI005001.WI,0.333333333,-0.02,-0.27218002,2.276597801,1.027965808,9.8525,0.254403073,1.839308073,2.448105425,0.019704433,-3.89E-05,0.124416742,0.796849141
20130129,CI005001.WI,0.166666667,-0.02,-0.258928571,1.357887366,1.027965808,9.8525,0.759189509,1.647451499,0.706047175,0.019704433,-3.89E-05,0.124416742,0.796849141
20130130,CI005001.WI,0,-0.02,-0.258360462,1.252835084,1.027965808,9.8525,0.094816284,1.452773827,0.578780012,0.019704433,-3.89E-05,0.124416742,0.796849141
20130131,CI005001.WI,0.166666667,0,-0.258164622,-0.951297436,1.027965808,9.8525,-0.332422613,1.32139384,-0.078959487,0.023483366,0.003778932,0.124416742,1.181954261