TRADE_DT,INDEX_CODE,RET
20130104,CI005001.WI,-0.003673227
20130107,CI005001.WI,0.005307389
20130108,CI005001.WI,0.012458867
20130109,CI005001.WI,0.002642767
20130110,CI005001.WI,0.000442029
20130111,CI005001.WI,-0.015082339
20130114,CI005001.WI,0.03139088
20130115,CI005001.WI,0.015845997
20130116,CI005001.WI,-0.003208567
20130117,CI005001.WI,-0.009418053
20130118,CI005001.WI,0.01074958
20130121,CI005001.WI,0.005698971
20130122,CI005001.WI,-0.008805469
20130123,CI005001.WI,0.005228203
20130124,CI005001.WI,-0.01202998
20130125,CI005001.WI,-0.001883179
20130128,CI005001.WI,0.02395935
20130129,CI005001.WI,0.001298185
20130130,CI005001.WI,0.004783463
20130131,CI005001.WI,-0.000785644